osm_id,registered_name,category_group,specific_type,latitude,longitude,district
1104353781,"Idp Camp","Hotels & Hospitality",caravan_site,9.54939,44.06037,"Hargeisa"
1104353811,"Ambassador Hotel","Hotels & Hospitality",hotel,9.52229,44.07288,"Hargeisa"
1104353905,"Id Camp","Hotels & Hospitality",caravan_site,9.53444,44.04082,"Hargeisa"
1138799241,"Oriental Hotel فندق أورينتال","Hotels & Hospitality",hotel,9.5623,44.06794,"Hargeisa"
1138799309,"Imperial Hotel","Hotels & Hospitality",hotel,9.55804,44.05099,"Hargeisa"
1138799338,"War Memorial (MIG)","Hotels & Hospitality",attraction,9.56146,44.06541,"Hargeisa"
2373721802,"Siraaj","Hotels & Hospitality",hotel,9.56052,44.07173,"Hargeisa"
2866183977,"Museum متحف","Hotels & Hospitality",museum,9.56219,44.07263,"Hargeisa"
3201169322,"Mount Royel Hotel","Hotels & Hospitality",hotel,9.57379,44.01316,"Hargeisa"
3201173249,"Maansoor Hotel","Hotels & Hospitality",hotel,9.575,44.03278,"Hargeisa"
3202885992,"Safaari Hotel","Hotels & Hospitality",hotel,9.563,44.03623,"Jigjiga yar Road"
3586340689,"Golden Tourist Hotel","Hotels & Hospitality",hotel,9.56123,44.08834,"Hargeisa"
3590162057,"City Centre مركز المدينة","Hotels & Hospitality",hotel,9.56086,44.06948,"Hargeisa"
3594055594,"Adam's Inn","Hotels & Hospitality",hotel,9.52521,44.07511,"Hargeisa"
3624604956,"Ramaad Hotel","Hotels & Hospitality",hotel,9.5337,44.07521,"Hargeisa"
3624604978,"Scandinavian Hotel","Hotels & Hospitality",hotel,9.52984,44.07503,"Hargeisa"
3645112768,"Xarunta Derbi-jiifka","Hotels & Hospitality",hostel,9.53951,44.11358,"Hargeisa"
4361883690,"telecom kililka","Hotels & Hospitality",viewpoint,9.57762,44.07769,"Hargeisa"
4463135024,"Surad Hotel","Hotels & Hospitality",hotel,9.56176,44.06283,"Hargeisa"
4463207032,"Bilaal Hotel فندق بيلال","Hotels & Hospitality",hotel,9.56338,44.06094,"Hargeisa"
4463794513,"Shaybe Hotel","Hotels & Hospitality",hotel,9.56679,44.03582,"Hargeisa"
4463838903,"Summertime Appartments","Hotels & Hospitality",hotel,9.5674,44.03574,"Hargeisa"
4463844189,"Sun Hotel","Hotels & Hospitality",hotel,9.56978,44.03549,"Hargeisa"
4463855555,"Golden Appartments","Hotels & Hospitality",hotel,9.57267,44.0353,"Hargeisa"
4542602590,"jimicsi","Hotels & Hospitality",viewpoint,9.57066,44.04283,"Hargeisa"
4542689190,"tec power plant3","Hotels & Hospitality",viewpoint,9.51798,44.11187,"Hargeisa"
4542696289,"t power plant tes 1","Hotels & Hospitality",viewpoint,9.51164,44.12675,"Hargeisa"
4542715889,"tec power plant tes2","Hotels & Hospitality",viewpoint,9.51348,44.11758,"Hargeisa"
4542716190,"tpower plant muuse","Hotels & Hospitality",viewpoint,9.52258,44.12818,"Hargeisa"
4542766391,"tec power plant jamaal","Hotels & Hospitality",viewpoint,9.52547,44.10638,"Hargeisa"
4542766392,"tplant m.mooge rd","Hotels & Hospitality",viewpoint,9.53452,44.10434,"Hargeisa"
4542766491,"tec power plant karashar2","Hotels & Hospitality",viewpoint,9.55191,44.10267,"Hargeisa"
4542812894,"tec power plant shirawqle sub","Hotels & Hospitality",viewpoint,9.56125,44.10062,"Hargeisa"
4542897889,"tec power plant wadada wadnaha shiraaqle","Hotels & Hospitality",viewpoint,9.56242,44.10045,"Hargeisa"
4542910589,"T power plant libaan f/stion under ground","Hotels & Hospitality",viewpoint,9.56037,44.09055,"Hargeisa"
4542912589,"tec power plant (saldhiga new hargeisa","Hotels & Hospitality",viewpoint,9.56083,44.07372,"Hargeisa"
4542912590,"buurta kala","Hotels & Hospitality",viewpoint,9.58597,44.00414,"Hargeisa"
4542916089,"T power plant 2","Hotels & Hospitality",viewpoint,9.5575,44.07575,"Hargeisa"
4542937290,"ttttt","Hotels & Hospitality",viewpoint,9.59111,44.03668,"Hargeisa"
4543006307,"tec power plant (sheekh madar)","Hotels & Hospitality",viewpoint,9.56425,44.07056,"Hargeisa"
4543259689,"tec power plant ( if iyo aakhiro )","Hotels & Hospitality",viewpoint,9.57905,44.04738,"Hargeisa"
4543360489,"tt power plant ff","Hotels & Hospitality",viewpoint,9.51921,44.09988,"Hargeisa"
4543360589,"TT power plant ff","Hotels & Hospitality",viewpoint,9.50551,44.10127,"Hargeisa"
4543360689,"tt power plant ff","Hotels & Hospitality",viewpoint,9.5307,44.12082,"Hargeisa"
4565218897,"tec power plant ( jirde para)","Hotels & Hospitality",viewpoint,9.56088,44.06119,"Hargeisa"
4565218898,"tec power plant masque dirir","Hotels & Hospitality",viewpoint,9.56075,44.06388,"Hargeisa"
4565218899,"tec power plant buubaa bacadlaha","Hotels & Hospitality",viewpoint,9.56032,44.06757,"Hargeisa"
4565218995,"tec power plant badri","Hotels & Hospitality",viewpoint,9.56051,44.06263,"Hargeisa"
4565218997,"tec power plant maayar;tec power kaliil","Hotels & Hospitality",viewpoint,9.55524,44.0747,"Hargeisa"
4565218998,"tec power plant saba xareed","Hotels & Hospitality",viewpoint,9.55152,44.07593,"Hargeisa"
4565218999,"tec power plant telesom star","Hotels & Hospitality",viewpoint,9.53755,44.07534,"Hargeisa"
4565219000,"tec saylada","Hotels & Hospitality",viewpoint,9.55224,44.08011,"Hargeisa"
4565219001,"tec tibiida","Hotels & Hospitality",viewpoint,9.55837,44.05509,"Hargeisa"
4565219002,"tec shacabka telesom","Hotels & Hospitality",viewpoint,9.5571,44.05362,"Hargeisa"
4565219006,"tec telesom xarunta","Hotels & Hospitality",viewpoint,9.57182,44.0361,"Hargeisa"
4565219008,"tec bada cas1","Hotels & Hospitality",viewpoint,9.55757,44.03639,"Hargeisa"
4565246991,"tec power plant ( geeska africa )","Hotels & Hospitality",viewpoint,9.56082,44.06186,"Hargeisa"
4565246992,"tec power plant (hos dhiqle)","Hotels & Hospitality",viewpoint,9.56081,44.06253,"Hargeisa"
4565246996,"tec power plant al khaliij","Hotels & Hospitality",viewpoint,9.54021,44.07631,"Hargeisa"
4565246997,"tec power aloore masjid","Hotels & Hospitality",viewpoint,9.54003,44.07544,"Hargeisa"
4565246998,"tec xanaano m.mooge","Hotels & Hospitality",viewpoint,9.54174,44.08934,"Hargeisa"
4565246999,"tec hooyo kaab","Hotels & Hospitality",viewpoint,9.54014,44.09191,"Hargeisa"
4565247001,"tec komishan","Hotels & Hospitality",viewpoint,9.55773,44.0498,"Hargeisa"
4565274891,"tec power plant khudrada","Hotels & Hospitality",viewpoint,9.5599,44.06799,"Hargeisa"
4565274892,"tec power plant hq 1","Hotels & Hospitality",viewpoint,9.55877,44.06874,"Hargeisa"
4565274893,"tec pawer plant manhal masjid","Hotels & Hospitality",viewpoint,9.54473,44.07744,"Hargeisa"
4565274894,"tec new masjid","Hotels & Hospitality",viewpoint,9.54286,44.10242,"Hargeisa"
